Filial;CoddoBem;Item;DescrSint;NumPlaqueta;Grupo;DtAquisicao;Quantidade;Historico;CCustoBem
01;0000004240;0001;RELOGIO DE PONTO BIOMETRICO;00025883;05;23-11-2010; 1000 ;;
01;0000004240;0001;RELOGIO DE PONTO BIOMETRICO;00025883;05;23-11-2010; 1000 ;Fiscal;10200302008
01;0000004240;0001;RELOGIO DE PONTO BIOMETRICO;00025883;05;23-11-2010; 1000 ;Fiscal;10200302008
01;0000004272;0001;TERMINAL DIGITAL DIALOG 4222 OFFCE;00026106;05;18-05-2011; 1000 ;;
01;0000004272;0001;TERMINAL DIGITAL DIALOG 4222 OFFCE;00026106;05;18-05-2011; 1000 ;Fiscal;10200302008
01;0000004272;0001;TERMINAL DIGITAL DIALOG 4222 OFFCE;00026106;05;18-05-2011; 1000 ;Fiscal;10200302008
01;0000004273;0001;PAINEL DIGITAL;00026107;05;18-05-2011; 1000 ;;
01;0000004273;0001;PAINEL DIGITAL;00026107;05;18-05-2011; 1000 ;Fiscal;10200302008
01;0000004273;0001;PAINEL DIGITAL;00026107;05;18-05-2011; 1000 ;Fiscal;10200302008
01;0000004276;0001;PAINEL DIGITAL;00026110;05;18-05-2011; 1000 ;;
01;0000004276;0001;PAINEL DIGITAL;00026110;05;18-05-2011; 1000 ;Fiscal;10200302008
01;0000004276;0001;PAINEL DIGITAL;00026110;05;18-05-2011; 1000 ;Fiscal;10200302008
01;0000004364;0001;BEBEDOURO COLUNA ESMALTEC GELAGUA;00026710;05;22-05-2012; 1000 ;;
01;0000004364;0001;BEBEDOURO COLUNA ESMALTEC GELAGUA;00026710;05;22-05-2012; 1000 ;Fiscal;10200302008
01;0000004364;0001;BEBEDOURO COLUNA ESMALTEC GELAGUA;00026710;05;22-05-2012; 1000 ;Fiscal;10200302008
01;0000004365;0001;BEBEDOURO COLUNA ESMALTEC GELAGUA;00026711;05;22-05-2012; 1000 ;;
01;0000004365;0001;BEBEDOURO COLUNA ESMALTEC GELAGUA;00026711;05;22-05-2012; 1000 ;Fiscal;10200302008
01;0000004365;0001;BEBEDOURO COLUNA ESMALTEC GELAGUA;00026711;05;22-05-2012; 1000 ;Fiscal;10200302008
01;0000004366;0001;BEBEDOURO COLUNA ESMALTEC GELAGUA;00026712;05;22-05-2012; 1000 ;;
01;0000004366;0001;BEBEDOURO COLUNA ESMALTEC GELAGUA;00026712;05;22-05-2012; 1000 ;Fiscal;10200302008
01;0000004366;0001;BEBEDOURO COLUNA ESMALTEC GELAGUA;00026712;05;22-05-2012; 1000 ;Fiscal;10200302008
01;0000004368;0001;BEBEDOURO COLUNA ESMALTEC GELAGUA;00026714;05;22-05-2012; 1000 ;;
01;0000004368;0001;BEBEDOURO COLUNA ESMALTEC GELAGUA;00026714;05;22-05-2012; 1000 ;Fiscal;10200302008
01;0000004368;0001;BEBEDOURO COLUNA ESMALTEC GELAGUA;00026714;05;22-05-2012; 1000 ;Fiscal;10200302008
01;0000004369;0001;TRANSFORMADOR TRIFASICO 225 KVA 380/220;00026715;05;09-11-2012; 1000 ;;
01;0000004369;0001;TRANSFORMADOR TRIFASICO 225 KVA 380/220;00026715;05;09-11-2012; 1000 ;Fiscal;10200302008
01;0000004369;0001;TRANSFORMADOR TRIFASICO 225 KVA 380/220;00026715;05;09-11-2012; 1000 ;Fiscal;10200302008
01;0000004495;0001;RELOGIO DE PONTO DIGITAL BIOMETRIA;00673095;05;28-01-2013; 1000 ;;
01;0000004495;0001;RELOGIO DE PONTO DIGITAL BIOMETRIA;00673095;05;28-01-2013; 1000 ;Fiscal;10200302008
01;0000004495;0001;RELOGIO DE PONTO DIGITAL BIOMETRIA;00673095;05;28-01-2013; 1000 ;Fiscal;10200302008
01;0000004639;0001;TRANSFORMADOR TRIFASICO 225 KVA 380/220;00673385;05;14-08-2013; 1000 ;;
01;0000004639;0001;TRANSFORMADOR TRIFASICO 225 KVA 380/220;00673385;05;14-08-2013; 1000 ;Fiscal;10200302008
01;0000004639;0001;TRANSFORMADOR TRIFASICO 225 KVA 380/220;00673385;05;14-08-2013; 1000 ;Fiscal;10200302008
01;0000004661;0001;AR CON SPLIT1800 BTUS PISO TETO HI WALL;00673681;05;12-09-2013; 1000 ;;
01;0000004661;0001;AR CON SPLIT1800 BTUS PISO TETO HI WALL;00673681;05;12-09-2013; 1000 ;Fiscal;10200302008
01;0000004661;0001;AR CON SPLIT1800 BTUS PISO TETO HI WALL;00673681;05;12-09-2013; 1000 ;Fiscal;10200302008
01;0000004661;0002;AR CON SPLIT 1800 BTUS PISO TETO HI WALL;00673682;05;12-09-2013; 1000 ;;
01;0000004661;0002;AR CON SPLIT 1800 BTUS PISO TETO HI WALL;00673682;05;12-09-2013; 1000 ;Fiscal;10200302008
01;0000004661;0002;AR CON SPLIT 1800 BTUS PISO TETO HI WALL;00673682;05;12-09-2013; 1000 ;Fiscal;10200302008
01;0000004661;0003;AR CON SPLIT 1800 BTUS PISO TETO HI WALL;00673683;05;12-09-2013; 1000 ;;
01;0000004661;0003;AR CON SPLIT 1800 BTUS PISO TETO HI WALL;00673683;05;12-09-2013; 1000 ;Fiscal;10200302008
01;0000004661;0003;AR CON SPLIT 1800 BTUS PISO TETO HI WALL;00673683;05;12-09-2013; 1000 ;Fiscal;10200302008
01;0000004661;0004;AR CON SPLIT 1800 BTUS PISO TETO HI WALL;00673684;05;12-09-2013; 1000 ;;
01;0000004661;0004;AR CON SPLIT 1800 BTUS PISO TETO HI WALL;00673684;05;12-09-2013; 1000 ;Fiscal;10200302008
01;0000004661;0004;AR CON SPLIT 1800 BTUS PISO TETO HI WALL;00673684;05;12-09-2013; 1000 ;Fiscal;10200302008
01;0000004661;0005;AR CON SPLIT 1800 BTUS PISO TETO HI WALL;00673685;05;12-09-2013; 1000 ;;
01;0000004661;0005;AR CON SPLIT 1800 BTUS PISO TETO HI WALL;00673685;05;12-09-2013; 1000 ;Fiscal;10200302008
01;0000004661;0005;AR CON SPLIT 1800 BTUS PISO TETO HI WALL;00673685;05;12-09-2013; 1000 ;Fiscal;10200302008
01;0000004661;0006;AR CON SPLIT 1800 BTUS PISO TETO HI WALL;00673686;05;12-09-2013; 1000 ;;
01;0000004661;0006;AR CON SPLIT 1800 BTUS PISO TETO HI WALL;00673686;05;12-09-2013; 1000 ;Fiscal;10200302008
01;0000004661;0006;AR CON SPLIT 1800 BTUS PISO TETO HI WALL;00673686;05;12-09-2013; 1000 ;Fiscal;10200302008
